fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,FL,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir,success,absstable10,absstable10_v,fdistcm
wild9,high,03/05/2021,16:58:10,x,nan,no_reaction,it is first sideways accrosss...,clock,,,,13,wild,,,,,,,,,,,,,,,,,,,high_clock,no,,,
wild13,high,04/05/2021,12:30:06,x,nan,no_reaction,no chane,counter,,,,13,wild,,,,,,,,,,,,,,,,,,,high_counter,no,,,
wild16,high,04/05/2021,13:52:26,x,nan,no_reaction,it is first sideways accrosss...,clock,,,,13,wild,,,,,,,,,,,,,,,,,,,high_clock,no,,,
wild22,high,05/05/2021,10:50:23,x,nan,no_reaction,no change,clock,,,,13,wild,,,,,,,,,,,,,,,,,,,high_clock,no,,,
wild23,high,05/05/2021,11:18:29,x,nan,no_reaction,no change,counter,,,,13,wild,,,,,,,,,,,,,,,,,,,high_counter,no,,,
wild24,high,05/05/2021,11:45:19,x,nan,no_reaction,no change,clock,,,,13,wild,,,,,,,,,,,,,,,,,,,high_clock,no,,,
wild28,high,05/05/2021,13:32:31,x,nan,no_reaction,no change,clock,,,,13,wild,,,,,,,,,,,,,,,,,,,high_clock,no,,,
wild29,high,05/05/2021,14:00:07,x,nan,no_reaction,no change,counter,,,,13,wild,,,,,,,,,,,,,,,,,,,high_counter,no,,,
wild31,high,05/05/2021,14:55:08,x,nan,no_reaction,no change,counter,,,,13,wild,,,,,,,,,,,,,,,,,,,high_counter,no,,,
indoorfarmed1,old,01/08/2019,13:29:10,13:34:05,00:04:55,dir_change,,clock,2.0,-3.0,-4.0,20.7,farmed_in,,,,,,,,,,,,,,-1.5,295.0,,,3.0,old_clock,yes,2.0,,
indoorfarmed2,old,01/08/2019,14:42:48,14:48:40,00:05:52,dir_change,,clock,11.0,-15.0,-13.0,20.7,farmed_in,,,,,,,,,,,,,,-1.3636363636363635,352.0,,,15.0,old_clock,yes,11.0,,
indoorfarmed3,old,01/08/2019,15:14:10,-,nan,no_reaction,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,no,,,
indoorfarmed4,old,01/08/2019,15:46:30,15:46:47,00:00:17,swim_off,,clock,11.0,-4.0,-11.0,20.7,farmed_in,,,,,,,,,,,,,,-0.36363636363636365,17.0,,,4.0,old_clock,dk,11.0,,
